idx,category,year,title,authors,venue,doi,url,pdf_url,pdf_path,pages,pdf_status,cited_by_count,relevance
1,kv_cache_compression,2023,Efficient Memory Management for Large Language Model Serving with PagedAttention,"Kwon W., Li Z., Zhuang S., ... Zhang H., Stoica I.",Sosp 2023 Proceedings of the 29th ACM Symposium on Operating Systems Principles,,https://www.scopus.com/pages/publications/85174118602?origin=resultslist,https://arxiv.org/pdf/2309.06180,pdfs/001_2023_efficient-memory-management-for-large-language-model-serving-with-page.pdf,16,ok,2236,233
2,kv_cache_compression,2026,The risk of KV cache compression,Lukas Haverbeck; Carmen Amo Alonso; Andres Felipe Posada-Moreno; Sebastian Trimpe; Marco Pavone,arXiv,,http://arxiv.org/abs/2607.01520v1,https://arxiv.org/pdf/2607.01520,pdfs/002_2026_the-risk-of-kv-cache-compression.pdf,48,ok,0,180
3,kv_cache_compression,2024,CacheGen: KV Cache Compression and Streaming for Fast Large Language Model Serving,"Liu Y., Li H., Cheng Y., ... Holtzman A., Jiang J.",ACM SIGCOMM 2024 Proceedings of the 2024 ACM SIGCOMM 2024 Conference,,https://www.scopus.com/pages/publications/85202291470?origin=resultslist,,pdfs/003_2024_cachegen-kv-cache-compression-and-streaming-for-fast-large-language-mo.pdf,19,ok,93,172
4,kv_cache_compression,2024,KVQuant: Towards 10 Million Context Length LLM Inference with KV Cache Quantization,"Hooper C., Kim S., Mohammadzadeh H., ... Keutzer K., Gholami A.","Advances in Neural Information Processing Systems, 37",,https://www.scopus.com/pages/publications/105000537041?origin=resultslist,,pdfs/004_2024_kvquant-towards-10-million-context-length-llm-inference-with-kv-cache.pdf,27,ok,72,171
5,kv_cache_compression,2024,PyramidInfer: Pyramid KV Cache Compression for High-throughput LLM Inference,"Yang D., Han X., Gao Y., ... Zhang S., Zhao H.",Proceedings of the Annual Meeting of the Association for Computational Linguistics,,https://www.scopus.com/pages/publications/85205285498?origin=resultslist,,pdfs/005_2024_pyramidinfer-pyramid-kv-cache-compression-for-high-throughput-llm-infe.pdf,13,ok,23,169
6,kv_cache_compression,2024,NACL: A General and Effective KV Cache Eviction Framework for LLMs at Inference Time,"Chen Y., Wang G., Shang J., ... Yu D., Wu H.","Proceedings of the Annual Meeting of the Association for Computational Linguistics, 1",,https://www.scopus.com/pages/publications/85204502246?origin=resultslist,,pdfs/006_2024_nacl-a-general-and-effective-kv-cache-eviction-framework-for-llms-at-i.pdf,14,ok,11,169
7,kv_cache_compression,2023,H2O: Heavy-Hitter Oracle for Efficient Generative Inference of Large Language Models,"Zhang Z., Sheng Y., Zhou T., ... Wang Z., Chen B.","Advances in Neural Information Processing Systems, 36",,https://www.scopus.com/pages/publications/85189365449?origin=resultslist,,pdfs/007_2023_h2o-heavy-hitter-oracle-for-efficient-generative-inference-of-large-la.pdf,49,ok,344,166
8,kv_cache_compression,2024,MiniCache: KV Cache Compression in Depth Dimension for Large Language Models,"Liu A., Liu J., Pan Z., ... Haffari G., Zhuang B.","Advances in Neural Information Processing Systems, 37",,https://www.scopus.com/pages/publications/105000560877?origin=resultslist,,pdfs/008_2024_minicache-kv-cache-compression-in-depth-dimension-for-large-language-m.pdf,26,ok,25,162
9,kv_cache_compression,2025,DUOATTENTION: EFFICIENT LONG-CONTEXT LLM INFERENCE WITH RETRIEVAL AND STREAMING HEADS,"Xiao G., Tang J., Zuo J., ... Fu Y., Han S.",13th International Conference on Learning Representations Iclr 2025,,https://www.scopus.com/pages/publications/105010221020?origin=resultslist,,pdfs/009_2025_duoattention-efficient-long-context-llm-inference-with-retrieval-and-s.pdf,20,ok,15,161
10,kv_cache_compression,2024,"KV Cache Compression, But What Must We Give in Return? A Comprehensive Benchmark of Long Context Capable Approaches","Yuan J., Liu H., Zhong S., ... Liu Z., Hu X.",Emnlp 2024 2024 Conference on Empirical Methods in Natural Language Processing Findings of Emnlp 2024,,https://www.scopus.com/pages/publications/85213127946?origin=resultslist,,pdfs/010_2024_kv-cache-compression-but-what-must-we-give-in-return-a-comprehensive-b.pdf,27,ok,13,161
11,kv_cache_compression,2023,Scissorhands: Exploiting the Persistence of Importance Hypothesis for LLM KV Cache Compression at Test Time,"Liu Z., Liao F., Xie V., ... Xu Z., Shrivastava A.","Advances in Neural Information Processing Systems, 36",,https://www.scopus.com/pages/publications/85205444321?origin=resultslist,,pdfs/011_2023_scissorhands-exploiting-the-persistence-of-importance-hypothesis-for-l.pdf,23,ok,7,161
12,kv_cache_compression,2025,RAZORATTENTION: EFFICIENT KV CACHE COMPRESSION THROUGH RETRIEVAL HEADS,"Tang H., Lin Y., Lin J., ... Yao Y., Wang G.",13th International Conference on Learning Representations Iclr 2025,,https://www.scopus.com/pages/publications/105010245328?origin=resultslist,,pdfs/012_2025_razorattention-efficient-kv-cache-compression-through-retrieval-heads.pdf,12,ok,6,161
13,kv_cache_compression,2025,ClusterKV: Manipulating LLM KV Cache in Semantic Space for Recallable Compression,"Liu G., Li C., Zhao J., Zhang C., Guo M.",Proceedings Design Automation Conference,,https://www.scopus.com/pages/publications/105017741501?origin=resultslist,,pdfs/013_2025_clusterkv-manipulating-llm-kv-cache-in-semantic-space-for-recallable-c.pdf,7,ok,4,161
