run_dir,run_label,model,split_mode,max_prompts,max_new_tokens,kl_risk_threshold,uckv_risk_tolerance,policy,split,prompts,steps,avg_kl,p95_kl,max_kl,top1_mismatch_rate,avg_retained_ratio,avg_kept_tokens,avg_full_tokens,avg_replay_s_per_step,risk_positive_rate,risk_brier,risk_ece_10,risk_roc_auc,uckv_fallback_steps,uckv_min_safe_steps
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,full,calibration,72,1728,0.0,0.0,0.0,0.0,1.0,286.40277777777777,286.40277777777777,0.1281242488662765,0.2312334656084656,0.1860655539432084,0.1813197167068934,0.8121357577325314,,
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,sink4_window_128,calibration,72,1728,0.3403959897126057,2.988451361656188,9.13864803314209,0.0769675925925925,0.5078501919135052,132.0,286.40277777777777,0.1311274624068674,0.2312334656084656,0.1860655539432084,0.1813197167068934,0.8121357577325314,,
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,sink4_window_192,calibration,72,1728,0.1562340990308145,0.3334492251276916,8.252137184143066,0.0364583333333333,0.7217677223333218,190.47222222222223,286.40277777777777,0.1316122853247213,0.2312334656084656,0.1860655539432084,0.1813197167068934,0.8121357577325314,,
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,sink4_window_256,calibration,72,1728,0.1309333098423251,0.0856548782438037,8.059635162353516,0.0295138888888888,0.8633567818102599,235.44444444444449,286.40277777777777,0.1298408631846204,0.2312334656084656,0.1860655539432084,0.1813197167068934,0.8121357577325314,,
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,sink4_window_32,calibration,72,1728,0.7467820864629694,4.247460222244262,8.032949447631836,0.1608796296296296,0.1385045977945923,36.0,286.40277777777777,0.1314619656371144,0.2312334656084656,0.1860655539432084,0.1813197167068934,0.8121357577325314,,
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,sink4_window_320,calibration,72,1728,0.0629221012336234,0.01934966892004,7.1046528816223145,0.0144675925925925,0.9499929635773045,266.5532407407408,286.40277777777777,0.1300120911451914,0.2312334656084656,0.1860655539432084,0.1813197167068934,0.8121357577325314,,
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,sink4_window_384,calibration,72,1728,0.000875072667615,0.0002399957978923,0.141376331448555,0.0,0.9926025180932776,283.4068287037037,286.40277777777777,0.1264694914379847,0.2312334656084656,0.1860655539432084,0.1813197167068934,0.8121357577325314,,
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,sink4_window_64,calibration,72,1728,0.5303931612949443,3.531062602996821,9.330739974975586,0.1192129629629629,0.2616197958342299,68.0,286.40277777777777,0.130343819253489,0.2312334656084656,0.1860655539432084,0.1813197167068934,0.8121357577325314,,
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,uckv_budget,calibration,72,1728,0.1928559798457839,1.2900340855121486,8.941717147827148,0.0480324074074074,0.6725891792205757,189.953125,286.40277777777777,0.1241043440896747,0.2312334656084656,0.1860655539432084,0.1813197167068934,0.8121357577325314,12.0,1716.0
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,uckv_entropy_adaptive,calibration,72,1728,1.9288804187169253,7.528501439094538,13.48934268951416,0.3663194444444444,0.0635709753329951,16.375578703703702,286.40277777777777,0.128062725983303,0.2312334656084656,0.1860655539432084,0.1813197167068934,0.8121357577325314,,
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,window_16,calibration,72,1728,6.9996704642005705,20.521971321105948,32.041133880615234,0.8177083333333334,0.0615575990198188,16.0,286.40277777777777,0.1331023621498759,0.2312334656084656,0.1860655539432084,0.1813197167068934,0.8121357577325314,,
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,full,evaluation,72,1728,0.0,0.0,0.0,0.0,1.0,287.59722222222223,287.59722222222223,0.1285711919149434,0.2307374338624338,0.2040163343706618,0.2042663322299264,0.795367970010306,,
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,alternating,144,24,0.01,0.5,sink4_window_128,evaluation,72,1728,0.3748174980527005,3.062589526176452,11.71992015838623,0.1006944444444444,0.5063641939273721,132.0,287.59722222222223,0.1323157091741854,0.2307374338624338,0.2040163343706618,0.2042663322299264,0.795367970010306,,
