run_dir,run_label,model,prompt_format,max_new_tokens,kl_risk_threshold,uckv_risk_tolerance,split,policy,context_words,prompts,answer_contains,avg_kept_tokens,fallback_steps
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,calibration,full,64,18,0.9444444444444444,173.88888888888889,0
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,calibration,full,128,18,0.8888888888888888,248.0,0
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,calibration,full,192,18,1.0,323.94444444444446,0
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,calibration,full,256,18,1.0,399.77777777777777,0
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,calibration,sink4_window_128,64,18,1.0,132.0,0
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,calibration,sink4_window_128,128,18,0.6111111111111112,132.0,0
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,calibration,sink4_window_128,192,18,0.3333333333333333,132.0,0
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,calibration,sink4_window_128,256,18,0.3333333333333333,132.0,0
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,calibration,sink4_window_192,64,18,0.9444444444444444,173.88888888888889,0
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,calibration,sink4_window_192,128,18,0.9444444444444444,196.0,0
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,calibration,sink4_window_192,192,18,0.6666666666666666,196.0,0
