run_dir,run_label,model,prompt_format,max_new_tokens,kl_risk_threshold,uckv_risk_tolerance,simulated_tolerance,split,steps,avg_kl,top1_mismatch_rate,avg_retained_ratio,avg_kept_tokens,fallback_steps,avg_selected_window
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.3,calibration,1728,0.0008758494935548739,0.0,0.9919778828597494,283.20659722222223,402,293.037037037037
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.3,evaluation,1728,0.0006356026463123053,0.0,0.9903267658801614,283.7199074074074,411,294.14814814814815
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.32,calibration,1728,0.00089782802936444,0.0,0.9904229492385808,282.7204861111111,357,290.4074074074074
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.32,evaluation,1728,0.0006496310299103383,0.0,0.9891797976822061,283.37152777777777,383,292.18518518518516
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.34,calibration,1728,0.0009359307166611782,0.0,0.9797195963579673,280.7708333333333,201,286.55555555555554
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.34,evaluation,1728,0.0007939173705561672,0.0,0.9793440308344391,281.69444444444446,242,288.85185185185185
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.35,calibration,1728,0.0010658387462582338,0.0005787037037037037,0.9683441528172895,278.462962962963,142,282.962962962963
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.35,evaluation,1728,0.0009257983083651222,0.0,0.968152859573195,279.46064814814815,187,285.25925925925924
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.36,calibration,1728,0.0013835315032695412,0.0005787037037037037,0.9531374247593958,275.0422453703704,120,278.1111111111111
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.36,evaluation,1728,0.0010850586454704606,0.004050925925925926,0.9541777749378508,276.3229166666667,162,280.81481481481484
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.365,calibration,1728,0.0016985953498820793,0.0023148148148148147,0.9433262334020411,272.82175925925924,118,275.0740740740741
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.365,evaluation,1728,0.0013285578162335636,0.005208333333333333,0.9451542402618089,274.1545138888889,157,278.037037037037
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.37,calibration,1728,0.009062668003503182,0.004050925925925926,0.9314220414154406,269.9490740740741,115,271.51851851851853
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.37,evaluation,1728,0.00770659204756864,0.008680555555555556,0.9371990681090465,272.1603009259259,154,275.48148148148147
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.375,calibration,1728,0.01619662752745304,0.005787037037037037,0.9186341975074063,266.853587962963,110,267.7037037037037
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.375,evaluation,1728,0.0251720814527212,0.01273148148148148,0.926355286647275,269.3576388888889,152,272.22222222222223
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.38,calibration,1728,0.023055323962823705,0.008101851851851851,0.9059682374965083,263.44675925925924,109,263.77777777777777
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.38,evaluation,1728,0.039725671800813156,0.017361111111111112,0.916486707902088,266.7204861111111,150,269.22222222222223
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.39,calibration,1728,0.04459560203155171,0.01273148148148148,0.8857330037161728,257.45081018518516,104,257.3703703703704
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.39,evaluation,1728,0.04997148555051329,0.019675925925925927,0.8974624411743193,261.21875,147,263.3333333333333
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.4,calibration,1728,0.06156813388032451,0.016203703703703703,0.8680674628503853,251.31076388888889,97,250.96296296296296
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.4,evaluation,1728,0.06467234003090822,0.023148148148148147,0.8840192633666133,256.72569444444446,143,258.6666666666667
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.42,calibration,1728,0.0933091867833026,0.023726851851851853,0.8498045785768669,244.65798611111111,84,244.03703703703704
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.42,evaluation,1728,0.09840567373661525,0.03009259259259259,0.8656033638171119,249.99652777777777,129,251.44444444444446
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.44,calibration,1728,0.11003024236940318,0.02662037037037037,0.8421026252156417,242.36631944444446,62,241.40740740740742
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.44,evaluation,1728,0.10959907642502965,0.032407407407407406,0.8596845809992131,248.0491898148148,117,249.2962962962963
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.46,calibration,1728,0.11353464639724306,0.027777777777777776,0.8329829139737676,239.89988425925927,57,238.5185185185185
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.46,evaluation,1728,0.11185808681626101,0.03356481481481482,0.8531818542001808,246.40162037037038,104,247.22222222222223
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.48,calibration,1728,0.11829869592645377,0.028356481481481483,0.7974116894728738,227.61458333333334,49,226.0
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.48,evaluation,1728,0.12379330160286141,0.03587962962962963,0.8201713478522357,235.14699074074073,92,235.74074074074073
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.5,calibration,1728,0.14025892272242643,0.031828703703703706,0.7461766627957392,211.41666666666666,39,209.59259259259258
outputs/experiments/20260709_073237_333891_final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval144_seed29_thr01_tol05_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.5,0.5,evaluation,1728,0.1388859770511972,0.03993055555555555,0.7768093662277892,221.26967592592592,79,221.62962962962962
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.3,calibration,1152,0.00028904524590538783,0.0,0.994698153123006,283.1588541666667,223,297.22222222222223
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.3,evaluation,1152,0.0003231858264467763,0.0,0.9939047683113734,283.60069444444446,251,296.27777777777777
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.32,calibration,1152,0.00029068990301574183,0.0008680555555555555,0.9933993163131386,282.7282986111111,218,292.1111111111111
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.32,evaluation,1152,0.0003253556928317941,0.0,0.9926047505053859,283.1692708333333,249,291.6111111111111
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.34,calibration,1152,0.00037773876953954815,0.0008680555555555555,0.9917848835851998,282.3541666666667,129,290.72222222222223
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.34,evaluation,1152,0.00034808867841828355,0.0,0.9916521899362944,282.9592013888889,161,290.8888888888889
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.35,calibration,1152,0.0004094373810807293,0.0008680555555555555,0.9863521136518227,281.3619791666667,87,288.8333333333333
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.35,evaluation,1152,0.00036516242886828495,0.0,0.9882831178497946,282.4001736111111,108,289.77777777777777
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.36,calibration,1152,0.0004348837791075097,0.0008680555555555555,0.9759506041892876,279.2673611111111,68,285.27777777777777
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.36,evaluation,1152,0.00047049743530189686,0.0,0.9789753787780318,280.67621527777777,89,286.8333333333333
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.365,calibration,1152,0.0005404897003859355,0.0008680555555555555,0.9687916179463615,277.7890625,62,282.94444444444446
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.365,evaluation,1152,0.0005668034230361763,0.0008680555555555555,0.9716012914233413,279.1154513888889,86,284.5
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.37,calibration,1152,0.000682183036474547,0.001736111111111111,0.9624521752735481,276.4348958333333,56,280.94444444444446
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.37,evaluation,1152,0.0007227591863253765,0.0008680555555555555,0.9641637414097077,277.5286458333333,86,282.22222222222223
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.375,calibration,1152,0.0009713638270233817,0.001736111111111111,0.9523348776892071,274.08940972222223,55,277.77777777777777
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.375,evaluation,1152,0.0008160004660777603,0.0008680555555555555,0.9545343207526279,275.3142361111111,85,279.1666666666667
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.38,calibration,1152,0.005798613638318866,0.003472222222222222,0.9433901463391428,271.8671875,53,274.8888888888889
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,0.38,evaluation,1152,0.0009989852419874197,0.005208333333333333,0.9435500659117564,272.36024305555554,84,275.6666666666667
