run_dir,run_label,model,prompt_format,max_new_tokens,kl_risk_threshold,uckv_risk_tolerance,split,policy,context_words,prompts,answer_contains,avg_kept_tokens,fallback_steps
outputs/experiments/20260710_173507_954314_longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,full,768,18,0.8888888888888888,993.2222222222222,0
outputs/experiments/20260710_173507_954314_longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,full,1024,18,0.9444444444444444,1289.111111111111,0
outputs/experiments/20260710_173507_954314_longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,sink4_window_1024,768,18,0.8888888888888888,993.2222222222222,0
outputs/experiments/20260710_173507_954314_longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,sink4_window_1024,1024,18,0.6111111111111112,1028.0,0
outputs/experiments/20260710_173507_954314_longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,sink4_window_1280,768,18,0.8888888888888888,993.2222222222222,0
outputs/experiments/20260710_173507_954314_longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,sink4_window_1280,1024,18,0.9444444444444444,1281.9282407407406,0
outputs/experiments/20260710_173507_954314_longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,sink4_window_1536,768,18,0.8888888888888888,993.2222222222222,0
outputs/experiments/20260710_173507_954314_longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,sink4_window_1536,1024,18,0.9444444444444444,1289.111111111111,0
outputs/experiments/20260710_173507_954314_longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,sink4_window_512,768,18,0.5555555555555556,516.0,0
outputs/experiments/20260710_173507_954314_longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536_HuggingFaceTB__SmolLM2-135M-Instruct,longmatch_smollm2_chat_retrieval72_seed67_main_thr01_tol036_w1536,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,calibration,sink4_window_512,1024,18,0.2777777777777778,516.0,0
