run_dir,run_label,model,prompt_format,max_new_tokens,kl_risk_threshold,uckv_risk_tolerance,split,policy,task_type,prompts,answer_contains,avg_kept_tokens,fallback_steps,avg_kl,top1_mismatch_rate,avg_retained_ratio,avg_full_tokens,replay_metric_source
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,full,kv_retrieval,48,0.9791666666666666,286.0416666666667,0,0.0,0.0,1.0,286.0416666666667,actual_replay
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_128,kv_retrieval,48,0.5416666666666666,132.0,0,0.325334607329199,0.0911458333333333,0.5074712205533677,286.0416666666667,actual_replay
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_192,kv_retrieval,48,0.7916666666666666,190.47916666666666,0,0.1523106028207849,0.0477430555555555,0.7212808521236928,286.0416666666667,actual_replay
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_256,kv_retrieval,48,0.8333333333333334,235.97395833333334,0,0.1150924616313079,0.0286458333333333,0.8649447480756324,286.0416666666667,actual_replay
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_320,kv_retrieval,48,0.8958333333333334,267.0677083333333,0,0.0666590157771916,0.0130208333333333,0.9519623989068916,286.0416666666667,actual_replay
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_384,kv_retrieval,48,0.9791666666666666,283.63107638888886,0,0.0003230605867406,0.0,0.9940201185387354,286.0416666666667,actual_replay
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_64,kv_retrieval,48,0.3541666666666667,68.0,0,0.5092745277466693,0.125,0.261424568163856,286.0416666666667,actual_replay
outputs/experiments/20260709_133848_943893_final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed31_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,uckv_budget,kv_retrieval,48,0.9791666666666666,269.0538194444444,89,0.0024304242066599,0.0112847222222222,0.9224768894968176,286.0416666666667,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,full,kv_retrieval,48,0.9583333333333334,286.1041666666667,0,0.0,0.0,1.0,286.1041666666667,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_128,kv_retrieval,48,0.5416666666666666,132.0,0,0.3423686857528928,0.0972222222222222,0.5075081676912757,286.1041666666667,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_192,kv_retrieval,48,0.7916666666666666,190.625,0,0.1409102028225231,0.0407986111111111,0.7222633205951541,286.1041666666667,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_256,kv_retrieval,48,0.7916666666666666,235.5972222222222,0,0.1344044910476315,0.03125,0.8640225252014623,286.1041666666667,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_320,kv_retrieval,48,0.875,266.82899305555554,0,0.0664084740971742,0.0130208333333333,0.9512313019453632,286.1041666666667,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_384,kv_retrieval,48,0.9583333333333334,283.56944444444446,0,0.0006128308618319,0.0,0.9937181067193274,286.1041666666667,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_64,kv_retrieval,48,0.3333333333333333,68.0,0,0.5294156074684866,0.1276041666666666,0.2614436015379299,286.1041666666667,actual_replay
outputs/experiments/20260709_153604_895075_final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384_HuggingFaceTB__SmolLM2-135M-Instruct,final_smollm2_chat_retrieval96_seed37_confirm_thr01_besttol_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,uckv_budget,kv_retrieval,48,0.9583333333333334,263.13628472222223,80,0.0036286517730849,0.0095486111111111,0.8982404454859881,286.1041666666667,actual_replay
outputs/experiments/20260710_094755_358986_stability_smollm2_chat_retrieval96_seed41_confirm_thr01_tol036_w384_HuggingFaceTB__SmolLM2-135M-Instruct,stability_smollm2_chat_retrieval96_seed41_confirm_thr01_tol036_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,full,kv_retrieval,48,0.9583333333333334,285.4375,0,0.0,0.0,1.0,285.4375,actual_replay
outputs/experiments/20260710_094755_358986_stability_smollm2_chat_retrieval96_seed41_confirm_thr01_tol036_w384_HuggingFaceTB__SmolLM2-135M-Instruct,stability_smollm2_chat_retrieval96_seed41_confirm_thr01_tol036_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_320,kv_retrieval,48,0.875,266.3854166666667,0,0.0712756157245924,0.0138888888888888,0.9518474028818346,285.4375,actual_replay
outputs/experiments/20260710_094755_358986_stability_smollm2_chat_retrieval96_seed41_confirm_thr01_tol036_w384_HuggingFaceTB__SmolLM2-135M-Instruct,stability_smollm2_chat_retrieval96_seed41_confirm_thr01_tol036_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_384,kv_retrieval,48,0.9583333333333334,282.93055555555554,0,0.0004628113062794,0.0,0.9937843149003848,285.4375,actual_replay
outputs/experiments/20260710_094755_358986_stability_smollm2_chat_retrieval96_seed41_confirm_thr01_tol036_w384_HuggingFaceTB__SmolLM2-135M-Instruct,stability_smollm2_chat_retrieval96_seed41_confirm_thr01_tol036_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,uckv_budget,kv_retrieval,48,0.9583333333333334,256.19184027777777,87,0.003091288050295,0.0173611111111111,0.8778079522957274,285.4375,actual_replay
outputs/experiments/20260710_110047_547783_stability_smollm2_chat_retrieval96_seed43_confirm_thr01_tol036_w384_HuggingFaceTB__SmolLM2-135M-Instruct,stability_smollm2_chat_retrieval96_seed43_confirm_thr01_tol036_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,full,kv_retrieval,48,0.9375,285.4166666666667,0,0.0,0.0,1.0,285.4166666666667,actual_replay
outputs/experiments/20260710_110047_547783_stability_smollm2_chat_retrieval96_seed43_confirm_thr01_tol036_w384_HuggingFaceTB__SmolLM2-135M-Instruct,stability_smollm2_chat_retrieval96_seed43_confirm_thr01_tol036_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_320,kv_retrieval,48,0.875,266.2994791666667,0,0.0712555018895768,0.0164930555555555,0.9516262313164864,285.4166666666667,actual_replay
outputs/experiments/20260710_110047_547783_stability_smollm2_chat_retrieval96_seed43_confirm_thr01_tol036_w384_HuggingFaceTB__SmolLM2-135M-Instruct,stability_smollm2_chat_retrieval96_seed43_confirm_thr01_tol036_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_384,kv_retrieval,48,0.9375,282.93923611111114,0,0.0005648279932788,0.0008680555555555,0.9938582621844402,285.4166666666667,actual_replay
outputs/experiments/20260710_110047_547783_stability_smollm2_chat_retrieval96_seed43_confirm_thr01_tol036_w384_HuggingFaceTB__SmolLM2-135M-Instruct,stability_smollm2_chat_retrieval96_seed43_confirm_thr01_tol036_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,uckv_budget,kv_retrieval,48,0.9375,265.38628472222223,88,0.0039198126502283,0.0121527777777777,0.9114284638040284,285.4166666666667,actual_replay
outputs/experiments/20260710_121206_625803_stability_smollm2_chat_retrieval96_seed47_confirm_thr01_tol036_w384_HuggingFaceTB__SmolLM2-135M-Instruct,stability_smollm2_chat_retrieval96_seed47_confirm_thr01_tol036_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,full,kv_retrieval,48,0.8958333333333334,286.75,0,0.0,0.0,1.0,286.75,actual_replay
outputs/experiments/20260710_121206_625803_stability_smollm2_chat_retrieval96_seed47_confirm_thr01_tol036_w384_HuggingFaceTB__SmolLM2-135M-Instruct,stability_smollm2_chat_retrieval96_seed47_confirm_thr01_tol036_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_320,kv_retrieval,48,0.8125,267.05295138888886,0,0.0684695851185914,0.0138888888888888,0.9504789740573096,286.75,actual_replay
outputs/experiments/20260710_121206_625803_stability_smollm2_chat_retrieval96_seed47_confirm_thr01_tol036_w384_HuggingFaceTB__SmolLM2-135M-Instruct,stability_smollm2_chat_retrieval96_seed47_confirm_thr01_tol036_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,sink4_window_384,kv_retrieval,48,0.8958333333333334,283.7239583333333,0,0.0006746962155168,0.0,0.9925229078567706,286.75,actual_replay
outputs/experiments/20260710_121206_625803_stability_smollm2_chat_retrieval96_seed47_confirm_thr01_tol036_w384_HuggingFaceTB__SmolLM2-135M-Instruct,stability_smollm2_chat_retrieval96_seed47_confirm_thr01_tol036_w384,HuggingFaceTB/SmolLM2-135M-Instruct,chat_template,24,0.01,0.36,evaluation,uckv_budget,kv_retrieval,48,0.8958333333333334,266.0833333333333,85,0.0049274906019959,0.0121527777777777,0.907885574582762,286.75,actual_replay
