run_dir,run_label,seed_id,model,max_prompts,max_new_tokens,uckv2_lambda,uckv2_beta,uckv2_evict_every,split,policy,task_type,prompts,answer_contains,avg_kept_tokens,fallback_steps,abstain_steps,avg_prefill_s,avg_decode_s,decode_tokens_per_s,peak_cache_bytes,avg_cache_bytes,cuda_peak_delta_bytes,avg_selector_elapsed_s,avg_selector_decode_fraction,avg_eviction_count,avg_entropy_gate,family,budget
outputs/experiments/20260711_094358_271988_uckv2_l1_seed31_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed31_b96_256,31,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,full,kv_retrieval,48,0.8541666666666666,285.2916666666667,0,0,0.1670732456244271,2.801707892311545,8.599999607821681,19537920,13192320.0,0,,,,,Full KV,
outputs/experiments/20260711_094358_271988_uckv2_l1_seed31_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed31_b96_256,31,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,h2o_hh_128,kv_retrieval,48,0.3333333333333333,128.0,0,0,0.1535014089586184,3.0394292091859825,7.92728048951617,18478080,5898240.0,0,,,24.0,,H2O,128.0
outputs/experiments/20260711_094358_271988_uckv2_l1_seed31_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed31_b96_256,31,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,h2o_hh_192,kv_retrieval,48,0.4583333333333333,187.72829861111111,0,0,0.1455778827921676,3.1565616918533124,7.795876813360324,18478080,8650520.0,0,,,24.0,,H2O,192.0
outputs/experiments/20260711_094358_271988_uckv2_l1_seed31_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed31_b96_256,31,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,h2o_hh_256,kv_retrieval,48,0.5625,233.49045138888889,0,0,0.1594254235839495,3.092485102583548,7.932497962638183,18478080,10759240.0,0,,,24.0,,H2O,256.0
outputs/experiments/20260711_094358_271988_uckv2_l1_seed31_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed31_b96_256,31,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,h2o_hh_96,kv_retrieval,48,0.3333333333333333,96.0,0,0,0.1514419184565364,3.206409371562889,7.536738698067772,18478080,4423680.0,0,,,24.0,,H2O,96.0
outputs/experiments/20260711_094358_271988_uckv2_l1_seed31_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed31_b96_256,31,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,uckv2_fixed_128,kv_retrieval,48,0.3333333333333333,133.875,0,0,0.1531770633537235,2.991505587687243,8.167207453866133,18478080,6168960.0,0,0.1458740366664036,0.0442573960511465,2.0,0.2562835094102352,UCKV2,128.0
outputs/experiments/20260711_094358_271988_uckv2_l1_seed31_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed31_b96_256,31,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,uckv2_fixed_192,kv_retrieval,48,0.4583333333333333,192.13541666666663,0,0,0.1477494627082099,3.0573078532294558,8.019111974590516,18478080,8853600.0,0,0.187530884630784,0.0551246667425356,2.0,0.2169651468877501,UCKV2,192.0
outputs/experiments/20260711_094358_271988_uckv2_l1_seed31_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed31_b96_256,31,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,uckv2_fixed_256,kv_retrieval,48,0.7291666666666666,236.546875,0,0,0.1568689922924022,3.0849060408133178,7.924311455062258,18478080,10900080.0,0,0.2104432989326596,0.0625117476394302,2.0,0.2087643798374453,UCKV2,256.0
outputs/experiments/20260711_094358_271988_uckv2_l1_seed31_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed31_b96_256,31,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,calibration,uckv2_fixed_96,kv_retrieval,48,0.3333333333333333,101.875,0,0,0.2945225633548034,3.023735640604779,8.076515175998065,18478080,4694400.0,0,0.1606129499362699,0.0488279632005338,2.0,0.2633357173919321,UCKV2,96.0
outputs/experiments/20260711_094358_271988_uckv2_l1_seed31_b96_256_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_l1_seed31_b96_256,31,HuggingFaceTB/SmolLM2-135M-Instruct,96,24,1.0,0.5,16,evaluation,full,kv_retrieval,48,0.9791666666666666,286.0416666666667,0,0,0.1811062474580467,2.8132236588344317,8.5705974316022,19169280,13226880.0,0,,,,,Full KV,
