ablation,budget,h2o_answer_contains,uckv2_answer_contains,answer_delta,h2o_avg_kept_tokens,uckv2_avg_kept_tokens,kept_delta,uckv2_lambda,uckv2_beta,uckv2_evict_every,uckv2_selector_decode_fraction
overnight_base_all,128,0.3333333333333333,0.3333333333333333,0.0,128.0,134.5625,6.5625,1.0,0.5,16,0.049098801394403
overnight_beta0_all,128,0.3333333333333333,0.3333333333333333,0.0,128.0,134.5625,6.5625,1.0,0.0,16,0.0444561563370259
overnight_evict1_all,128,0.3333333333333333,0.3333333333333333,0.0,128.0,128.0,0.0,1.0,0.5,1,0.0846828530003847
overnight_lambda0_all,128,0.3333333333333333,0.3333333333333333,0.0,128.0,134.5625,6.5625,0.0,0.5,16,0.0528805283222416
overnight_plain_all,128,0.3333333333333333,0.3333333333333333,0.0,128.0,134.5625,6.5625,0.0,0.0,16,0.0445542920212552
overnight_probe_last1,128,0.3333333333333333,0.3333333333333333,0.0,128.0,134.5625,6.5625,1.0,0.5,16,0.0380585698912434
overnight_probe_last4,128,0.3333333333333333,0.3333333333333333,0.0,128.0,134.5625,6.5625,1.0,0.5,16,0.0516044102733672
overnight_probe_last4_beta0,128,0.3333333333333333,0.3333333333333333,0.0,128.0,134.5625,6.5625,1.0,0.0,16,0.0394338456214076
overnight_lambda0_all,192,0.3333333333333333,0.4166666666666667,0.08333333333333337,192.0,198.5625,6.5625,0.0,0.5,16,0.0370894357670682
overnight_base_all,192,0.3333333333333333,0.3333333333333333,0.0,192.0,198.5625,6.5625,1.0,0.5,16,0.0366273784460839
overnight_beta0_all,192,0.3333333333333333,0.3333333333333333,0.0,192.0,198.5625,6.5625,1.0,0.0,16,0.0379507057347709
overnight_evict1_all,192,0.3333333333333333,0.3333333333333333,0.0,192.0,192.0,0.0,1.0,0.5,1,0.073887263675749
overnight_plain_all,192,0.3333333333333333,0.3333333333333333,0.0,192.0,198.5625,6.5625,0.0,0.0,16,0.0360641088883759
overnight_probe_last1,192,0.3333333333333333,0.3333333333333333,0.0,192.0,198.5625,6.5625,1.0,0.5,16,0.0288438296453697
overnight_probe_last4,192,0.3333333333333333,0.3333333333333333,0.0,192.0,198.5625,6.5625,1.0,0.5,16,0.0326911661352155
overnight_probe_last4_beta0,192,0.3333333333333333,0.3333333333333333,0.0,192.0,198.5625,6.5625,1.0,0.0,16,0.0295473630598903
overnight_lambda0_all,256,0.3333333333333333,0.5833333333333334,0.25000000000000006,256.0,262.5625,6.5625,0.0,0.5,16,0.0754699587082289
overnight_base_all,256,0.3333333333333333,0.5,0.16666666666666669,256.0,262.5625,6.5625,1.0,0.5,16,0.0702189430942012
overnight_evict1_all,256,0.3333333333333333,0.5,0.16666666666666669,256.0,256.0,0.0,1.0,0.5,1,0.0985854011822612
overnight_probe_last4,256,0.3333333333333333,0.4166666666666667,0.08333333333333337,256.0,262.5625,6.5625,1.0,0.5,16,0.0932265936927396
overnight_beta0_all,256,0.3333333333333333,0.3333333333333333,0.0,256.0,262.5625,6.5625,1.0,0.0,16,0.0737470645837818
overnight_plain_all,256,0.3333333333333333,0.3333333333333333,0.0,256.0,262.5625,6.5625,0.0,0.0,16,0.0658679184097327
overnight_probe_last1,256,0.3333333333333333,0.3333333333333333,0.0,256.0,262.5625,6.5625,1.0,0.5,16,0.0788273084193542
overnight_probe_last4_beta0,256,0.3333333333333333,0.3333333333333333,0.0,256.0,262.5625,6.5625,1.0,0.0,16,0.0974925685228304
