ablation,policy,budget,uckv2_lambda,uckv2_beta,uckv2_evict_every,uckv2_min_recent,uckv2_recent_fraction,runs,answer_contains,answer_contains_se,avg_kept_tokens,decode_tokens_per_s,selector_decode_fraction
overnight_base_all,h2o_hh_128,128.0,1.0,0.5,16,64,0.25,1,0.3333333333333333,,128.0,5.381228466081654,
overnight_base_all,uckv2_fixed_128,128.0,1.0,0.5,16,64,0.25,1,0.3333333333333333,,134.5625,5.2392057254561,0.049098801394403
overnight_base_all,h2o_hh_192,192.0,1.0,0.5,16,64,0.25,1,0.3333333333333333,,192.0,5.914379743639814,
overnight_base_all,uckv2_fixed_192,192.0,1.0,0.5,16,64,0.25,1,0.3333333333333333,,198.5625,5.3315757127952494,0.0366273784460839
overnight_base_all,h2o_hh_256,256.0,1.0,0.5,16,64,0.25,1,0.3333333333333333,,256.0,5.922326450155263,
overnight_base_all,uckv2_fixed_256,256.0,1.0,0.5,16,64,0.25,1,0.5,,262.5625,5.150493222867645,0.0702189430942012
overnight_base_all,full,,1.0,0.5,16,64,0.25,1,0.75,,1208.75,6.217779635865614,
overnight_beta0_all,h2o_hh_128,128.0,1.0,0.0,16,64,0.25,1,0.3333333333333333,,128.0,5.472662552529312,
overnight_beta0_all,uckv2_fixed_128,128.0,1.0,0.0,16,64,0.25,1,0.3333333333333333,,134.5625,5.196048672676077,0.0444561563370259
overnight_beta0_all,h2o_hh_192,192.0,1.0,0.0,16,64,0.25,1,0.3333333333333333,,192.0,5.943447018085217,
overnight_beta0_all,uckv2_fixed_192,192.0,1.0,0.0,16,64,0.25,1,0.3333333333333333,,198.5625,5.24167595079169,0.0379507057347709
overnight_beta0_all,h2o_hh_256,256.0,1.0,0.0,16,64,0.25,1,0.3333333333333333,,256.0,5.978909179524198,
overnight_beta0_all,uckv2_fixed_256,256.0,1.0,0.0,16,64,0.25,1,0.3333333333333333,,262.5625,5.133324096547708,0.0737470645837818
overnight_beta0_all,full,,1.0,0.0,16,64,0.25,1,0.75,,1208.75,6.107580181868735,
overnight_evict1_all,h2o_hh_128,128.0,1.0,0.5,1,64,0.25,1,0.3333333333333333,,128.0,5.614321321974496,
overnight_evict1_all,uckv2_fixed_128,128.0,1.0,0.5,1,64,0.25,1,0.3333333333333333,,128.0,4.97784736539236,0.0846828530003847
overnight_evict1_all,h2o_hh_192,192.0,1.0,0.5,1,64,0.25,1,0.3333333333333333,,192.0,6.079764522801611,
overnight_evict1_all,uckv2_fixed_192,192.0,1.0,0.5,1,64,0.25,1,0.3333333333333333,,192.0,5.172950936004195,0.073887263675749
overnight_evict1_all,h2o_hh_256,256.0,1.0,0.5,1,64,0.25,1,0.3333333333333333,,256.0,5.973730732964806,
overnight_evict1_all,uckv2_fixed_256,256.0,1.0,0.5,1,64,0.25,1,0.5,,256.0,4.990408673622459,0.0985854011822612
overnight_evict1_all,full,,1.0,0.5,1,64,0.25,1,0.75,,1208.75,6.199251104618536,
overnight_lambda0_all,h2o_hh_128,128.0,0.0,0.5,16,64,0.25,1,0.3333333333333333,,128.0,5.6599898160965125,
overnight_lambda0_all,uckv2_fixed_128,128.0,0.0,0.5,16,64,0.25,1,0.3333333333333333,,134.5625,5.349019594565033,0.0528805283222416
overnight_lambda0_all,h2o_hh_192,192.0,0.0,0.5,16,64,0.25,1,0.3333333333333333,,192.0,6.251849926485523,
overnight_lambda0_all,uckv2_fixed_192,192.0,0.0,0.5,16,64,0.25,1,0.4166666666666667,,198.5625,5.4250422610819165,0.0370894357670682
overnight_lambda0_all,h2o_hh_256,256.0,0.0,0.5,16,64,0.25,1,0.3333333333333333,,256.0,6.267301549784808,
overnight_lambda0_all,uckv2_fixed_256,256.0,0.0,0.5,16,64,0.25,1,0.5833333333333334,,262.5625,5.284483260136432,0.0754699587082289
overnight_lambda0_all,full,,0.0,0.5,16,64,0.25,1,0.75,,1208.75,6.302849642507179,
overnight_plain_all,h2o_hh_128,128.0,0.0,0.0,16,64,0.25,1,0.3333333333333333,,128.0,5.661854855065536,
overnight_plain_all,uckv2_fixed_128,128.0,0.0,0.0,16,64,0.25,1,0.3333333333333333,,134.5625,5.28506212695587,0.0445542920212552
overnight_plain_all,h2o_hh_192,192.0,0.0,0.0,16,64,0.25,1,0.3333333333333333,,192.0,6.172502658724945,
overnight_plain_all,uckv2_fixed_192,192.0,0.0,0.0,16,64,0.25,1,0.3333333333333333,,198.5625,5.409540181044965,0.0360641088883759
overnight_plain_all,h2o_hh_256,256.0,0.0,0.0,16,64,0.25,1,0.3333333333333333,,256.0,6.209237965668021,
overnight_plain_all,uckv2_fixed_256,256.0,0.0,0.0,16,64,0.25,1,0.3333333333333333,,262.5625,5.32626756515388,0.0658679184097327
overnight_plain_all,full,,0.0,0.0,16,64,0.25,1,0.75,,1208.75,6.155852629716584,
overnight_probe_last1,h2o_hh_128,128.0,1.0,0.5,16,64,0.25,1,0.3333333333333333,,128.0,5.584517535321528,
overnight_probe_last1,uckv2_fixed_128,128.0,1.0,0.5,16,64,0.25,1,0.3333333333333333,,134.5625,5.56820320507532,0.0380585698912434
overnight_probe_last1,h2o_hh_192,192.0,1.0,0.5,16,64,0.25,1,0.3333333333333333,,192.0,5.9954198943505865,
overnight_probe_last1,uckv2_fixed_192,192.0,1.0,0.5,16,64,0.25,1,0.3333333333333333,,198.5625,5.636042953278157,0.0288438296453697
overnight_probe_last1,h2o_hh_256,256.0,1.0,0.5,16,64,0.25,1,0.3333333333333333,,256.0,5.958180338604062,
overnight_probe_last1,uckv2_fixed_256,256.0,1.0,0.5,16,64,0.25,1,0.3333333333333333,,262.5625,5.430422319182676,0.0788273084193542
overnight_probe_last1,full,,1.0,0.5,16,64,0.25,1,0.75,,1208.75,6.365261687741444,
overnight_probe_last4,h2o_hh_128,128.0,1.0,0.5,16,64,0.25,1,0.3333333333333333,,128.0,5.637995625823442,
overnight_probe_last4,uckv2_fixed_128,128.0,1.0,0.5,16,64,0.25,1,0.3333333333333333,,134.5625,5.406847023749563,0.0516044102733672
overnight_probe_last4,h2o_hh_192,192.0,1.0,0.5,16,64,0.25,1,0.3333333333333333,,192.0,6.105058975526187,
overnight_probe_last4,uckv2_fixed_192,192.0,1.0,0.5,16,64,0.25,1,0.3333333333333333,,198.5625,5.606706525549435,0.0326911661352155
overnight_probe_last4,h2o_hh_256,256.0,1.0,0.5,16,64,0.25,1,0.3333333333333333,,256.0,6.2054409640655335,
overnight_probe_last4,uckv2_fixed_256,256.0,1.0,0.5,16,64,0.25,1,0.4166666666666667,,262.5625,5.311001975048048,0.0932265936927396
overnight_probe_last4,full,,1.0,0.5,16,64,0.25,1,0.75,,1208.75,6.3436635865890745,
overnight_probe_last4_beta0,h2o_hh_128,128.0,1.0,0.0,16,64,0.25,1,0.3333333333333333,,128.0,5.473765784163337,
overnight_probe_last4_beta0,uckv2_fixed_128,128.0,1.0,0.0,16,64,0.25,1,0.3333333333333333,,134.5625,5.749493783876868,0.0394338456214076
overnight_probe_last4_beta0,h2o_hh_192,192.0,1.0,0.0,16,64,0.25,1,0.3333333333333333,,192.0,6.109837218719882,
overnight_probe_last4_beta0,uckv2_fixed_192,192.0,1.0,0.0,16,64,0.25,1,0.3333333333333333,,198.5625,5.829541718349032,0.0295473630598903
overnight_probe_last4_beta0,h2o_hh_256,256.0,1.0,0.0,16,64,0.25,1,0.3333333333333333,,256.0,6.11228805222514,
overnight_probe_last4_beta0,uckv2_fixed_256,256.0,1.0,0.0,16,64,0.25,1,0.3333333333333333,,262.5625,5.417562553787266,0.0974925685228304
overnight_probe_last4_beta0,full,,1.0,0.0,16,64,0.25,1,0.75,,1208.75,6.321833655778274,
