run_dir,run_label,ablation,model,max_prompts,max_new_tokens,uckv2_lambda,uckv2_beta,uckv2_evict_every,uckv2_min_recent,uckv2_recent_fraction,split,policy,task_type,prompts,answer_contains,avg_kept_tokens,fallback_steps,abstain_steps,avg_prefill_s,avg_decode_s,decode_tokens_per_s,peak_cache_bytes,avg_cache_bytes,cuda_peak_delta_bytes,avg_selector_elapsed_s,avg_selector_decode_fraction,avg_eviction_count,avg_entropy_gate,budget
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260711_233508_206183_uckv2_ablate_overnight_base_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_base_all_seed911_p24_t16,overnight_base_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.5,16,64,0.25,calibration,full,kv_retrieval,12,0.9166666666666666,1210.4166666666667,0,0,1.3567375902469696,2.7251539165808936,6.219443964533458,115061760,55822080.0,0,,,,,
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260711_233508_206183_uckv2_ablate_overnight_base_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_base_all_seed911_p24_t16,overnight_base_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.5,16,64,0.25,calibration,h2o_hh_128,kv_retrieval,12,0.3333333333333333,128.0,0,0,0.433162961746954,3.1948335519943307,5.395774449442249,114370560,5898240.0,0,,,16.0,,128.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260711_233508_206183_uckv2_ablate_overnight_base_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_base_all_seed911_p24_t16,overnight_base_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.5,16,64,0.25,calibration,h2o_hh_192,kv_retrieval,12,0.3333333333333333,192.0,0,0,0.5711955034954977,2.762704513833645,5.96104512485183,114370560,8847360.0,0,,,16.0,,192.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260711_233508_206183_uckv2_ablate_overnight_base_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_base_all_seed911_p24_t16,overnight_base_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.5,16,64,0.25,calibration,h2o_hh_256,kv_retrieval,12,0.3333333333333333,256.0,0,0,0.4856767361658664,2.6886096665766672,6.076301169557611,114370560,11796480.0,0,,,16.0,,256.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260711_233508_206183_uckv2_ablate_overnight_base_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_base_all_seed911_p24_t16,overnight_base_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.5,16,64,0.25,calibration,uckv2_fixed_128,kv_retrieval,12,0.3333333333333333,134.5625,0,0,6.284277735991054,9.812460089999757,4.739148882820485,114370560,6200640.0,0,0.545401642807216,0.0681861593017132,2.0,0.3339176208588695,128.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260711_233508_206183_uckv2_ablate_overnight_base_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_base_all_seed911_p24_t16,overnight_base_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.5,16,64,0.25,calibration,uckv2_fixed_192,kv_retrieval,12,0.3333333333333333,198.5625,0,0,8.190121975669172,9.71191903475119,4.911926734656467,114370560,9149760.0,0,0.312292819423116,0.0502776311115663,2.0,0.2725687425216616,192.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260711_233508_206183_uckv2_ablate_overnight_base_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_base_all_seed911_p24_t16,overnight_base_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.5,16,64,0.25,calibration,uckv2_fixed_256,kv_retrieval,12,0.4166666666666667,262.5625,0,0,7.534875232663277,9.778146020830414,4.750146521754907,114370560,12098880.0,0,0.7837461873423308,0.0921140967554624,2.0,0.2557281751238391,256.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260711_233508_206183_uckv2_ablate_overnight_base_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_base_all_seed911_p24_t16,overnight_base_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.5,16,64,0.25,evaluation,full,kv_retrieval,12,0.75,1208.75,0,0,1.7392573020842974,2.746079451496674,6.217779635865614,114324480,55745280.0,0,,,,,
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260711_233508_206183_uckv2_ablate_overnight_base_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_base_all_seed911_p24_t16,overnight_base_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.5,16,64,0.25,evaluation,h2o_hh_128,kv_retrieval,12,0.3333333333333333,128.0,0,0,0.65406357300526,3.22084282633053,5.381228466081654,113633280,5898240.0,0,,,16.0,,128.0
outputs/overnight/20260711_233504_uckv2_local_overnight/experiments/20260711_233508_206183_uckv2_ablate_overnight_base_all_seed911_p24_t16_HuggingFaceTB__SmolLM2-135M-Instruct,uckv2_ablate_overnight_base_all_seed911_p24_t16,overnight_base_all,HuggingFaceTB/SmolLM2-135M-Instruct,24,16,1.0,0.5,16,64,0.25,evaluation,h2o_hh_192,kv_retrieval,12,0.3333333333333333,192.0,0,0,0.6315349686628906,2.8453872325868965,5.914379743639814,113633280,8847360.0,0,,,16.0,,192.0
